hasil_preprocessing;pos_score;neg_score;final_score;label
dagang mudah jb exchange beli jual basis eth pi bitcoin btc ethereum eth litecoin ltc toncoin ton sidra coin sda biaya rendah transaksi cepat aman;16;5;11;positif
binance coin bnb dukung ekosistem binance utilitas bnb dagang defi jadi butuh pokok toncoin ton jaring buka dapps skala ikat telegram ton buat ramai;19;5;14;positif
kotak pasir tf bulan minggu bullish gera jangka tengah;9;4;5;positif
ton foundation umum tutup jembatan toncoin peran fasilitas transfer lintas rantai toncoin mei jembatan hubung ton blockchain ethereum bnb smart chain;4;13;-9;negatif
sorot token dubai tahu ton tether usdt integrasi ton blockchain transaksi mulus guna b telegram tukar aman cepat toncoin sempurna iklan buat konten;26;0;26;positif
gila nyata ekosistem toncoin butuh dunia durov elon musk;8;5;3;positif
langka;0;5;-5;negatif
bicara informasi relevan telegram toncoin situ dalam titik peta latam tinggal jalan;6;3;3;positif
uang virtual berita baru fungsi jembatan ton toncoin bridge henti susul henti jusdt fungsi jembatan ton coin token asli blockchain publik ton the open network;2;23;-21;negatif
situasi bitcoin btc dagang minggu ethereum eth dagang stabil volume dagang kurang solana sol turun koin ton;3;3;0;netral
dagang antarmuka ramah guna integrasi dompet ton mulus tukar toncoin token hemat biaya repot;18;5;13;positif
puluh atas kategori dasar marketcap eth ethereum bnb bnb sol solana cardano trx tron sui sui avax avalanche ton toncoin hbar hedera bch bitcoin cash menang;6;4;2;positif
integrasi asli dompet ton stonfi guna tukar toncoin token bas ton instan kedip baik harga baik sedia;18;0;18;positif
fungsi jembatan ton jembatan toncoin henti henti jusdt;0;16;-16;negatif
harga polkadot target toncoin lonjak blockdag roi hadiah referensi jadi cryptocurrency populer;17;0;17;positif
harga cryptocurrency dasar kapital pasar batas pasar crypto global triliun tingkat turun;5;3;2;positif
lewat khawatir toncoin dagang zona beli diskon ramah lingkung ingat kripto sabar kebaji untung hadiah;27;0;27;positif
takjub kali kirim toncoin akun bybit wallahi tonkeeper tutup bursa masuk notifikasi tonkeeper boom transaksi;10;5;5;positif
altcoin perhati mei toncoin ton pi network pi permata sembunyi;3;0;3;positif
kripto baik beli prospek taruh solana capai toncoin tembus;19;0;19;positif
komputasi kerja;2;0;2;positif
token atas minggu;0;4;-4;negatif
ton mati jembatan toncoin mei jembatan toncoin dukung transfer jaring ton ethereum bnb smart chain guna alih solusi hubung;16;8;8;positif
tunggu ser terima kasih upaya laku ekosistem toncoin;11;0;11;positif
get ton tutup jembatan toncoin mei jembatan toncoin dukung transfer jaring ton ethereum bnb smart chain guna pilih solusi hubung;12;12;0;netral
toncoin pompa bahan bakar roket latih dapat hasil gabung;9;8;1;netral
fungsi jembatan ton toncoin bridge henti henti jusdt;0;12;-12;negatif
april mata uang kripto atas inu;0;6;-6;negatif
pasar kecuali mata uang pegang ekspresi sebut nama mata uang;0;6;-6;negatif
partisipasi kickstarter mexc harga minimal token mx gabung akses proyek janji harga tarik rekomendasi;16;8;8;positif
toncoin pompa pintar dapat cepat dukung gabung;8;5;3;positif
untung pasar bullish bearish volatil ton strategi call spread iron condor strangles dapat untung skenario dagang opsi ton powertrade;14;4;10;positif
ikut kontes dagang usdc usdc rebut temu pasang usdc solid sol toncoin link trader fee cashback mei layak coba;12;3;9;positif
fungsi jembatan ton jembatan toncoin henti henti jusdt;0;16;-16;negatif
salah arsip pesan bitcoin temu online jual lihat daftar batal tawar beli btc harga ubah juta;16;18;-2;negatif
ayo pergi;5;0;5;positif
bagi kerja tanggung beda kritik remeh;8;9;-1;netral
beli toncoin ton beli ton mata uang fiat metode bayar kartu kredit bank langsung transfer sepa bayar seluler apple pay google pay;9;7;2;positif
toncoin galaksi w nyali keluar kriteria guna diskualifikasi bicara toncoin mati mati keri mati ya;21;7;14;positif
setor memecoin ikut suka tanda teman komentar alamat ton;3;5;-2;negatif
beli tahan;3;0;3;positif
harga toncoin incar reli tembus minggu pasar kripto saksi ubah haluan bullish panik jual putar perang dagang global reda;12;7;5;positif
dukung kuat;7;0;7;positif
alva buy hodl btc eth sol solana ton toncoin imbang risiko imbal baik q q dasar fundamental tren adopsi;9;9;0;netral
smeone u know ton aplikasi mini telegram daya tarik tumbuh toncoin taruh baru tarik tunjuk;11;4;7;positif
nilai tukar sowget naira dolar mata uang elektronik beli jual bitcoin instaforex biner usdt solana toncoin volet gorila amin skales gm gm;12;2;10;positif
toncoin;0;0;0;netral
bridges momen evolusi hindar jalan toncoin alat tahan hidup ekosistem kembang bukti tahan kripto likuiditas lintas rantai p s shitzu ber;7;6;1;netral
ton mei toncoin bridge dukung transfer jaring ton ethereum bnb smart chain;7;0;7;positif
sec tuju tanggal luncur publik april etf xrp proshares trust kumpul juta dana seri a pimpin paradigm umum tutup jembatan toncoin mei;10;10;0;netral
area resistensi utama area resistensi jangka pendek area dukung jangka pendek area dukung utama tradingview telegram;16;0;16;positif
top koin populer;8;0;8;positif
aplikasi bahasa diri moonpay ceo ton foundation tether softbank group luncur usaha asli bitcoin toncoin bridge umum undur coinbase paypal mitra maju bayar stablecoin;7;9;-2;negatif
bridge skin game eco jembatan satu dagang toncoin uniswap pancakeswap dex proses transfer jembatan juta ton jembatan toncoin resmi henti;15;16;-1;netral
toncoin menit jamin investasi ton via;0;5;-5;negatif
toncoin menit jamin investasi ton via;0;5;-5;negatif
ayo toncoin hebat;7;0;7;positif
ya bro buat;5;0;5;positif
sol daftar;1;0;1;netral
optimis bohong rencana beli k dolar nila ton uang;9;5;4;positif
ya;4;0;4;positif
terima kasih rangkum sobat;13;0;13;positif
isyarat mitra x telegram ton foundation integrasi toncoin x money bayar kripto x pavel durov main peran kunci kolaborasi juli;11;0;11;positif
ton henti waris jembatan toncoin cerah;3;8;-5;negatif
klaim apr stablecoin rendah usdc usdt ketidaktertarikan paus altcoin april paus kumpul altcoin cardan;0;5;-5;negatif
jembatan m ton toncoin bridge henti mei guna jembatan ton ethereum bnb chain klaim transfer buka bridging masuk laku jembatan toncoin;4;19;-15;negatif
bangun abad abad runtuh kejap reta realitas kuasa milik milik milik iman;9;8;1;netral
ton bangun momentum reli henti siap terobos analisis lengkap telegram;10;4;6;positif
kreator dapat bayar pengaruh nyata merek bayar libat bukti metrik sombong kampanye kosong gabung gera;14;15;-1;netral
lacak sentimen ethereum solana toncoin cardano jalan cakap memecoin orang orang dogecoin;2;3;-1;netral
cardano gelincir toncoin lonjak tentu nada pasar;7;3;4;positif
selamat pagi harga mata uang kripto dasar kapital pasar kapital pasar kripto global triliun turun turun;11;2;9;positif
erti atur;6;0;6;positif
kripto tren atas cundang atas mei raih atas whiterock uniswap toncoin dagang tether miliar bitcoin miliar cundang atas bittensor koin dunia;3;18;-15;negatif
elon musk tolak sepakat telegram grok postingan durov toncoin reaksi;6;4;2;positif
toncoin lonjak pimpin lawan batas breakout;9;3;6;positif
ton fam makan enak tanda kambing putar menang letak meme ton favorit;10;5;5;positif
minggu rumor lambat resistensi dukung rsi ichimoku dingin gantung percaya bingung umum telegram baca;15;8;7;positif
elon musk buka ban kontrak telegram toncoin ditandatangani;3;0;3;positif
harga ath nya ton;3;0;3;positif
dana dukung institusional beli toncoin peluang rantai rancang orang normal duduk asli defi ton coba menang main bangun main;23;3;20;positif
toncoin ton m ton beli sequoia benchmark dana obligasi telegram nila m luncur hubung dalam telegram juta guna kembang pesat atmr bayar token neraca gera;22;0;22;positif
buka telegram cari bot dagang blum klik buka cari alamat dompet toncoin salin transfer toncoin alamat dagang notcoin k poin me;11;8;3;positif
usaha ai elon musk telegram capai sepakat manfaat toncoin kolaborasi colok xai milik elon musk aplikasi pesan telegram prinsip capai sepakat baca;30;4;26;positif
ingat ton coin ai mega deal picu momentum bullish turun jangka pendek koreksi pasar konvergensi rsi ma isyarat rebound statistik utama ribu dompet aktif baca;23;0;23;positif
toncoin;0;0;0;netral
acara athena ena athena staking ena sena athena staking usde susde athena usde usde toncoin ton mei athena x ton sumber;0;0;0;netral
judul ton coin bangun dukung kuat harga aman ton coin dukung angka investor aman harga ton analisis pasar stabilitas potensi tumbuh minggu;38;0;38;positif
toncoin crypto telegram ubah main juta guna gebrak dunia adopsi arus utama ton;6;0;6;positif
bitcoin gt ethereum gt alt coins gt meme coins alir par perlahan gilir sayap ethereum perhati keranjang hilang barang periode bullish eth gt sui gt apt gt ton gt arb gt;7;4;3;positif
mei bitcoin spx ethereum ripple solana dogecoin cardano sui stellar toncoi n pepe gigachad;0;0;0;netral
platform publikasi acara ikut;2;3;-1;netral
toncoin pimpin pasar harga;3;0;3;positif
taruh toncoin kton guna akses token hasil imbal sepenuh likuid buka lapis utilitas uang desentralisasi;14;0;14;positif
berita kini toncoin turun cerah sepakat juta telegram grok ai elon pikir toncoin ai ubah main prediksi harga ton;19;4;15;positif
elon musk langkah toncoin sepakat juta grok ai tingkat nilai toncoin signifikan awas;20;0;20;positif
toncoin lonjak xai telegram tanda tumbuh inovasi grok ai;11;2;9;positif
toncoin capai token snorter alternatif ton pasuk pasar cepat borsatek;8;0;8;positif
visi jangka utilitas toncoin transaksi staking rencana ton tarik kembang bangun dapps blockchainnya;16;0;16;positif
harga toncoin ton sejarah ulang koreksi lonjak minat buka;14;0;14;positif
menang crypto dexe spx toncoin pimpin oleh kuat pilih tingkat;8;2;6;positif
open interest toncoin lonjak timbul potensi reaksi pasar dasar pola ikut lonjak investor pantau tren sebab mundur;20;11;9;positif
luncur ton coin jetton advait softech kembang token kontrak cerdas integrasi telegram info com;6;3;3;positif
toncoin lonjak xai telegram manfaat fitur obrol ai miliar guna kapital pasar miliar;10;0;10;positif
open interest toncoin ton lonjak juta tembus resistensi utama target teknis kisar wakil potensi naik volume lonjak dukung pola tembus bullish cerita lengkap;40;3;37;positif
open interest toncoin lonjak data open interest toncoin ton catat lonjak dasar tren sejarah open interest toncoin capai level tinggi februari;15;14;1;netral
nilai tukar sowget naira dolar e currency beli jual bitcoin instaforex biner usdt solana toncoin volet keras chelsea seyi vibez binance alpha sesko waec;9;0;9;positif
toncoin ton tahan kuat data on chain akumulasi juta token isyarat tingkat sentimen bullish;14;6;8;positif
toncoin lonjak aktivitas jangka harga tahan zona dukung utama;15;0;15;positif
ton usd;0;0;0;netral
misteri lonjak open interest toncoin kacau mitra telegram xai baca lengkap;11;3;8;positif
jelajah turun uniswap lemah minta toncoin temu unstaked kumpul juta potensi roi x lacak token defi daya tarik cepat;18;0;18;positif
reli toncoin bangun momentum aktivitas paus kelompok likuidasi picu potensi terobos;5;5;0;netral
intraday kripto;0;0;0;netral
tahu vie faucet alam tari ton sukses kumpul koin ton mudah vie faucet video isi jelas detail alam tari nyata faucetpay tonton;27;4;23;positif
toncoin;0;0;0;netral
nama guna telegram jual;2;0;2;positif
toncoin;0;0;0;netral
ton bayar guna transaksi salah biaya negatif orang oleh toncoin kirim transaksi satu blockchain cashback bawa ui;16;7;9;positif
prediksi harga toncoin harga ton capai;13;0;13;positif
prediksi harga toncoin harga ton capai;13;0;13;positif
prediksi harga toncoin harga ton capai btc eth;13;0;13;positif
hapus jembatan likuiditas ton rantai setor tari batas toncoin;1;13;-12;negatif
pasar kripto mayoritas zona merah bitcoin turun level rp miliar ethereum lemah rp juta altcoin solana xrp dogecoin toncoin catat koreksi signifikan;12;0;12;positif
nilai tukar sowget naira dolar e currency beli jual bitcoin instaforex biner usdt solana toncoin volet;9;0;9;positif
nilai token brasilena langka likuiditas manfaat luncur kumpul likuiditas usde toncoin data;10;8;2;positif
blockchain toncoin ton telegram integrasi jejaring sosial populer transfer instan biaya rendah infrastruktur ton komunikasi bayar lengkap taut salur telegram tutup profil;19;7;12;positif
legenda gm;0;0;0;netral
prediksi nilai remittix rtx lampau cardano toncoin ton remittix rtx gelap;8;4;4;positif
ton usd;0;0;0;netral
proyek tipu aplikasi beli toncoin airdrop proyek ambil uang hilang henti;5;13;-8;negatif
tsusde stablecoin dukung dolar jaring ton hasil apy bayar toncoin ton kumpul likuiditas terna platform bas ton;11;0;11;positif
tsusde stablecoin dukung dolar jaring ton hasil apy bayar toncoin ton kumpul likuiditas terna platform bas ton;11;0;11;positif
tsusde stablecoin dukung dolar jaring ton hasil apy bayar toncoin ton kumpul likuiditas terna platform bas ton;11;0;11;positif
kripto tren atas web xrp toncoin stellar;0;6;-6;negatif
toncoin notcoin ton ecosystem jalan pasar stiker;0;0;0;netral
ton toncoin target ikut telegram sinyal kripto instan gratis sol bonk popcat doge shib pepe giga;4;3;1;netral
selamat pagi harga mata uang kripto dasar kapital pasar kapital pasar kripto global triliun turun turun;11;2;9;positif
prapenjualan qubetics tingkat m toncoin zignaly tetap tolok ukur;7;0;7;positif
ton usd d target;0;0;0;netral
masuk main mari menang telegram;10;3;7;positif
tldr farm ston babydoge diversifikasi utilitas papar meme lewat putar ton defi tan;2;3;-1;netral
ton mata uang kripto ekosistem toncoin ton xd lempar uang atap konyol;0;5;-5;negatif
cepat beli sel prapenjualan taut beli;8;0;8;positif
altcoin reli balik bitcoin tinggi k qubetics monero toncoin kripto atas gabung;3;12;-9;negatif
crypto saji panas segar bitcoin btc ethereum eth toncoin ton potong panas toko roti blockchain bilang trading enak uid;21;2;19;positif
koin atas uang pintar tonton bitcoin ath toncoin arus utama telegram jetbolt ledak nol daftar gebrak sempat nyata kembang portofolio gulir lewat simpan lacak;12;21;-9;negatif
wow mexc hadir heboh menang ton kumpul hadiah juta biaya apr staking teman teman lewat gabung manfaat sempat baik;23;5;18;positif
tahu koin ton dulunya nama gram ubah nama toncoin sungguh ton foundation swiss dorong maju teknologi mexc;8;0;8;positif
lapor uang telegram untung us juta kontribusi ekologis ton signifikan diri pavel durov hadap lidi perancis telegram lapor total dapat us miliar tingkat kali lipat laba bersih us juta komposisi dapat inti kerjasama ekologis aplikasi blockchain ton bayar toncoin dapat iklan us juta;29;5;24;positif
daftar mexc buka;4;0;4;positif
toncoin hadir waspada;5;0;5;positif
toncoin hadir waspada;5;0;5;positif
nilai tukar sowget naira dolar mata uang elektronik beli jual bitcoin instaforex biner usdt solana toncoin volet;9;2;7;positif
blockchain telegram toncoin ton integrasi dalam messenger ekosistem kembang pesat ton kandidat adopsi massal lengkap taut salur telegram tutup profil;16;2;14;positif
toncoin satu token nila t barat;5;0;5;positif
kaspa toncoin clat looooooooooooool;0;0;0;netral
ave legiun;0;0;0;netral
jaring buka ton;6;0;6;positif
meong dot kejar toncoin ekor kejar doge debu;0;12;-12;negatif
ave;0;0;0;netral
toncoin abai entri qubetics pimpin altcoin atas beli;2;7;-5;negatif
ave;0;0;0;netral
ulas pasar kripto mei bitcoin ethereum solana toncoin fifa luncur nft avalanche troll retas coinbase zachxbt kraken luncur tokenisasi saham;0;3;-3;negatif
tugas halusinasi rendah v r model hasil rl milik halusinasi parah;7;9;-2;negatif
ave dictatorcrypto;0;0;0;netral
qwen;0;0;0;netral
ave;0;0;0;netral
gelombang toncoin lonjak harga cepat untung;13;0;13;positif
notcoin pompa toncoin mooning sei spiking jalan liar kripto henti impi ai bittensor lambung meme pepe teriak getar rugpull hodl dapat rekt degens pasar binatang buas;5;16;-11;negatif
bitcoin capai ribu xrp manfaat gelombang kembali britto notcoin toncoin keras rebound mantan koin ai web sensasi layer kota badut kripto kencang sabuk kam dapat tuju;22;9;13;positif
zoge coin saing dobrak blockchain tulis ulang atur;7;0;7;positif
notcoin toncoin bulan lambo mimpi m x uang jadi elon raja kripto tingkat ethereum masak vitalik doge salak genius act keras pompa jenius stablecoin koin ai lentur miliar memecoin curi perhati;9;9;0;netral
yo notcoin toncoin bulan quick buang tipu rugpull game web koin ai tren musk vitalik takut lemah crypto sirkus badut kendara gelombang meme coin;8;11;-3;negatif
notcoin lamun bitcoin turun sei makan makan siang orang naik toncoin mimpi tipu xrp goda elon panas crypto twitter bipolar ulang pump dump biadab dapat rekt;23;4;19;positif
tap to earn notcoin ledak lambo meme degens toncoin stabil bosan sei pompa kendara ombak iv izin kripto hipnotis kejar tantang;2;15;-13;negatif
notcoin ketuk jari darah lambo besar curi tesla milik elon toncoin harga tahan koin ai agentxyz hadir lentur getar hidup crypto liar tipu selamat putus;26;9;17;positif
tap to earn notcoin hemat uang lambo jerit bau permadani toncoin kerja samping telegram lentur barat liar crypto pilih racun dapat rekt;11;13;-2;negatif
xrp bulan bitcoin tidur k toncoin incar koin ai layerai regang keras musk goda tumpu eth milik vitalik memecoin mask jalan suasana anjing lucu crypto liar pilih kuda poni dapat rekt;16;7;9;positif
sempat toncoin harga murah pasar bullish ledak lewat gelombang titik tinggi;14;7;7;positif
notcoin toncoin lemah bitcoin kejar tinggal boomer k lambo lamboom koin ai lentur memecoin otak pepe lentur meme web kunci peduli hodling renang;17;3;14;positif
crypto sayang bitcoin eth rindu xrp tertawa notcoin toncoin lentur lambo tipu meme tunggu hancur musk hipnotis btc vitalik kode tidur web panas degen nft beli jpeg kencang sabuk kam;25;3;22;positif
koin meme ponke apu bulan defi makan debu token ai gpu botify raja sensasi bitcoin ethereum uap toncoin fleksibel sombong telegram dunia barat liar crypto pilih kuda injak injak;2;14;-12;negatif
bisik adaptasi;2;2;0;netral
selamat pagi harga mata uang kripto dasar kapital pasar pasar kripto global batas triliun tingkat turun;11;5;6;positif
notcoin toncoin pompa lambo bulan koin ai bittensor lentur kuat miliar pesta etf bitcoin harga k sec puruk web token rumah nenek koin meme kacau murni dingin;17;1;16;positif
juni bitcoin spx solana epileptik memberitahu ripple ethereum dogecoin cardano sui stellar toncoi n;0;0;0;netral
baru sistem uang;0;4;-4;negatif
bisik adaptasi;2;2;0;netral
ave guncang alam semesta ganggu medan gravitasi bumi;2;7;-5;negatif
ave;0;0;0;netral
ave dictatorcrypto cerdas kolektif tuju jembatan senjang digital planet bumi;4;4;0;netral
tahu alam semesta batas nol makhluk ungkap nomor;12;6;6;positif
dunia orang nyata kosong informasi nyata beda;11;6;5;positif
aju etf sei tingkat toncoin tari volatilitas heboh dagang aplikasi musk x doge shiba gonggong keras web lentur lapis nft tua keringat koin ai ya ampun koin meme jalan tunjuk pasar crypto hodl dapat rekt;10;11;-1;netral
ave diktator;0;0;0;netral
pikir kolektif dictatorcrypto dictatorcrypto hasil olah cipta informasi angka;6;0;6;positif
koin meme cmo wen edar tengah tari permadani tunggu isi dompet koin ai aria ai dengar masuk akal sensasi kostum gpu sei toncoin tren bicara crypto s liar taruh ulang keras;17;10;7;positif
toncoin tren populer ton harga ubah jam jam rendah jam kapital pasar peringkat;8;7;1;netral
toncoin ton tingkat salah token cryptocurrency atas dasar kapital pasar lonjak posisi rendah april capai level tinggi katalis dorong kerja ton open network ton;14;16;-2;negatif
intraday kripto;0;0;0;netral
notcoin jaring mangga sei ethereum toncoin lambo sui;3;0;3;positif
bayar naira kripto toncoin notcoin usdt hubung george uwaifo com kirim pm;4;0;4;positif
shib ton coin pepe prediksi harga juni;6;0;6;positif
cryptocurrency trending atas coingecko sei sei koin mgo jaring mangga ton toncoin hype s hipercair sonik cta lintas zaman lambo lambo sui eth ethereum aave terima kasih tia celestia kaito kaito pendle pendle virtual;12;4;8;positif
kripto tren atas;0;6;-6;negatif
kredit video aplikasi mini telegram web saku blum academy ton dapat ulas lengkap toncoin potensi gila;9;4;5;positif
blockchain toncoin ton messenger telegram promosi transfer instan ton kembang pesat ton header profil;6;0;6;positif
toncoin;0;0;0;netral
toncoin aud;0;0;0;netral
toncoin chf;0;0;0;netral
penuh gembira altcoin kait ai alami lonjak web ai prapenjualan m toncoin ton manfaat lonjak volume telegram nfc virtual tumbuh dorong ai tingkat volume;23;3;20;positif
beli koin diversifikasi portofolio bitcoin btc ethereum eth polygon matic solana sol toncoin ton eksposur ekosistem kripto;4;0;4;positif
sei lonjak jam jadi koin trending atas ikut notcoin not toncoin ton token s sonic coinbase umum listingnya;6;7;-1;netral
tap to earn notcoin hemat uang cross the ages lentur getar main nft toncoin mimpi basah telegram koin ai bittensor teriak hodl memecoin kuasa sirkus buang tas badut tutup;12;7;5;positif
tap to earn notcoin hemat uang toncoin lentur pengaruh telegram jaring mangga calon l crypto sirkus ambil kera popcorn;10;8;2;positif
bitcoin capai k bois hilang notcoin toncoin pompa saylor shilling btc gadai koin web ai ai hype tipu hodl rekt degens;7;3;4;positif
bitcoin capai ribu koin ai ruang tanah toncoin lentur game notcoin doge main elon web masak nft bro shilling jpeg hodl dapat rekt plebs;12;3;9;positif
bitcoin dingin k ethereum lentur pompa notcoin toncoin meme koin ai hasil wall street pepe kacau murni genius act startup ramai pasar buas;13;5;8;positif
yah pancing paus orang orang suka ikan tangki terna maksud nanti konten senang putus bodoh oh ya undi tambang tambang bitcoin periksa;18;7;11;positif
toncoin milik momentum harap tahan terobos lanjut;10;0;10;positif
toncoin ton mc mc mc;0;0;0;netral
kripto trending atas coingecko juni toncoin ton notcoin not lambo lambo hyperliquid hype spark spk virtuals protocol virtual solana sol bitcoin btc ethereum eth bas dogecoin doge;0;4;-4;negatif
yo bitget tarik motogp toncoin notcoin bulan shilling doge elon khotbah vitalik selamat l nft kota hantu koin ai tren memecoin jalan main tahan degens dapat rekt;15;4;11;positif
yo dogecoin sebab elon bosan toncoin koin uap eth masakan vitalik pompa kejar tipu ai bangun degens dapat rekt pasar badut;8;3;5;positif
yo dogecoin lamun eth tidur siang toncoin notcoin curi perhati ya fart sensasi gagal nft elon bisik gempa pasar sirkus kripto hodl dapat rekt plebs;13;16;-3;negatif
kumpul dagang hadiah nft langka pasar sekunder resmi;6;5;1;netral
toncoin mooning notcoin shilling cta koin meme keri layer selamat jiwa eth degens teriak hodl dompet curi musk pompa doge vitalik ai cz hitung brankas btc tipu coba;8;11;-3;negatif
integrasi xoob ton tac chromia dekat solid madu game defi manfaat skala telegram transparansi data chromia kesan langsung guna sebe;17;3;14;positif
toncoin bulan notcoin pompa meme hype ai bittensor bau khotbah layer fomo vitalik uap lintas zaman nft cross my wallet crypto bro kejar pompa sirkus;0;8;-8;negatif
yo crypto fam notcoin fartcoin bulan beruang menang gua cz pomp tumpuk bnb btc bos sei toncoin lentur getar web buang fiat gabung kacau koin meme miskin;8;21;-13;negatif
trump pompa eth xrp sensasi etf notcoin toncoin fleksibel musk keluar btc hancur dolar vitalik mimpi x ethereum koin kentut buruk tangga lagu koin web ai hodl memecoin jalan sirkus;4;13;-9;negatif
notcoin pompa toncoin lentur cross the ages buang aduh crypto bro teriak hodl koin ai bittensor mimpi web skema koin meme pilih degen racun pasar jalan liar;3;7;-4;negatif
yo toncoin lamun memecoin gerak keras mantan web kejar fartcoin koin ethereum ai simpan layer bisik alfa bangun kawan kripto henti simping doge hodl dapat rekt;2;15;-13;negatif
yo toncoin notcoin lamun cta makan debu impi doge elon buang dai vitalik picu kacau meme musk tunjuk badut murni web mimpi demam pilih degen racun pasar seru;8;8;0;netral
gila clicker notcoin kaya kejar gas fartcoin toncoin mimpi dominasi blockchain cross the ages nft teriak tipu heboh ai bittensor hemat kantong crypto liar ambil racun;16;14;2;positif
bitcoin layang k eth jebak k ikan paus sedih toncoin notcoin curi perhati memecoin lentur portofolio jpmorgan endus kripto vitalik saing buku dunia hodl dapat rekt degens;8;10;-2;negatif
hype tap to earn notcoin fomo toncoin shills jerit telegram gas koin ai lentur miliar memecoin main pump and dump crypto sirkus ambil popcorn dapat rekt;8;16;-8;negatif
toncoin lamun notcoin muncul cta aduh musk pompa doge vitalik tingkat eth bintang bintang koin meme satu benar pasar badut beli saus menang obrol grup degens;14;4;10;positif
tingkat aplikasi mini telegram tumpu web kuat bangun tac chromia orientasi ton guna setor aset usdt langsung telegram alam dompet asli mulus uang;20;4;16;positif
hadiah nft mint telegram dukung ton hadiah grafik langka dagang hari turun atas;13;9;4;positif
pasar telegram nft booming pepe mewah liontin hati tutup apel emas toncoin bangkit hadiah telegram senang aset;13;2;11;positif
koin trending atas notcoin not toncoin ton sei sei bittensor tao sui sui lambo lambo;0;4;-4;negatif
real time tampil harga terus atas like staked ether toncoin cardano fi;6;4;2;positif
toncoin incar tinggi breakout atur panggung reli bullish;15;0;15;positif
toncoin incar level tinggi terobos buka jalan reli bullish;10;0;10;positif
penuh gembira altcoin ai ramai jam web ai m prapenjualan toncoin manfaat ai nfc lonjak virtuals protocol lompat gerak ai;17;0;17;positif
koin tren atas notcoin not toncoin ton sei sei bittensor tao sui sui lambo lambo protokol virtual virtual sol btc eth sol;0;6;-6;negatif
memecoin bitcoin buang toncoin koin koin musk men tweet khotbah vitalik tingkat defi tipu rayap web nft hodl rekt crypto ledak;1;7;-6;negatif
peringkat tren cari mata uang virtual publikasi media isi baru notcoin yen toncoin yen sei yen klik informasi baru saham;6;7;-1;netral
yo lambo lamun fartcoin tangga lagu notcoin lentur toncoin milik kuat web masak rokok solana koin ai nft haha moga untung musk vitalik kirim tweet hancur;15;3;12;positif
notcoin fartcoin lonjak bitcoin uap k hype cross the ages nft copium murni web berita selamat toncoin pasar fear kejar impi lambo bangun omong kosong nenek;10;19;-9;negatif
kripto tren atas;0;6;-6;negatif
notcoin lamun bitcoin uap k toncoin lentur getar telegram solana keringat genius act startup muncul memecoin muncul crypto wilayah barat liar cari kacau;6;3;3;positif
notcoin toncoin pompa cross the ages makan kotor fud geopolitik tahan btc k hodlers tertawa mimpi web lambung memecoin aum saudara saudara nft bosan jalan liar crypto ikat dapat rekt;14;5;9;positif
notcoin toncoin pompa lambo bulan saylor beli btc uu coin politis asin turun pasar hodl portofolio meme web mimpi tipu nft koin ai shill naik ombak dapat rekt degens;12;1;11;positif
bitcoin lemah altcoin potong toncoin lentur keringat notcoin koin meme tunjuk badut murni web semangat saudara saudara nft atas tweet elon hancur hodl dapat rekt plebs;11;6;5;positif
peta bintang bitcoin rang blockchain notcoin toncoin pengaruh saylor berita diam memecoin musk tunjuk badut hodl dapat rekt plebs;6;7;-1;netral
notcoin lambo pompa ya toncoin lentur otot telegram manfaat bitcoin raja meme teriak angguk elon hype web tantang taruh kacau keluarga;18;10;8;positif
notcoin toncoin pompa olah milik koin ai telegram defi tertawa bank memecoin sirkus degens bangun crypto bro lewat roket x dengung tidur;11;3;8;positif
ton foundation kingsway capital rencana kumpul juta ton funds dukung insentif validator kembang protokol ekosistem langkah sorot tumbuh lembaga toncoin dukung harga lanjut iring gulir inisiatif;30;6;24;positif
solana sol dingin reli dukung resistensi binance coin bnb kisar milik dukung resistensi toncoin ton aksi sideways datar support resistensi;22;0;22;positif
ton foundation milik tuju kingsway capital luncur usaha bendahara toncoin rencana kumpul juta investor swasta tumpuk ton bloomberg usaha go public sepakat spac kumpul dana;18;4;14;positif
breaking kembang toncoin ton ton foundation umum mitra bendahara ton usaha bitcoinlinux juli berita kini ton foundation baca lengkap;15;4;11;positif
rayu;0;4;-4;negatif
the gekko daily news ethena taps anchorage terbit stablecoin miliar usdtb dasar uu genius ton foundation gabung tren usaha bendahara kripto toncoin pitch dana etha ethereum blackrock etf tiga capai aset miliar;12;7;5;positif
ringkas grafik hari toncoin usdt toncoin tembus garis tren turun utama uji ulang support reli kuat zona dukung pantul lanjut tren support level struktur utama istirahat;25;11;14;positif
ton price rally sinyal teknis bullish kuat dagang toncoin naik hari indikator teknis bentuk momentum bullish baca rsi netral btc;24;0;24;positif
ton foundation kumpul juta mitra kingsway capital langkah signifikan ekosistem web ton foundation kingsway capital kumpul juta usaha bendahara toncoin mitra putus strategis;16;0;16;positif
ton foundation kingsway capital rencana tingkat juta treasury toncoin;5;0;5;positif
toncoin ton wib;0;0;0;netral
harga toncoin ton tren utama;3;2;1;netral
ton foundation kingsway capital rencana kumpul juta bendahara toncoin ton;4;0;4;positif
ton foundation kingsway capital kumpul juta usaha bendahara toncoin dukung taruh ton;11;0;11;positif
hai ton fam berita ton foundation kingsway capital rencana naik juta bendahara toncoin;10;4;6;positif
ton foundation kingsway capital rencana tingkat juta treasury toncoin bbg aggr;5;0;5;positif
